uuid,title,content,markerType
b38e33bd-81ef-43b0-a35b-77600a2f2a09,교량 공사 중,교량 공사 중이니 다른 길을 이용하세요.,RED
8d32ce0d-0608-40eb-bd7f-597c70d201b0,산불 경고,산불 경고가 내려진 지역입니다.,RED
b422d9da-c4aa-4ed5-beba-5a10eeab1c67,위험한 지하 배수구,위험한 지하 배수구가 있으니 주의하세요.,RED
c632e8ee-0b97-476e-96df-b9d08c5c931a,미끄러운 잔디,잔디가 미끄러우니 조심하세요.,RED
181f940b-8a39-47da-9e51-11ebedef9c17,도로 침식 구역,이 구역은 도로 침식이 일어나고 있습니다.,RED
fcf36ece-327b-441d-af26-7500f27a24a4,연기 냄새 발생,연기 냄새가 나니 화재 위험을 주의하세요.,RED
e4b1acde-eb7b-42c9-b3a3-f76ea817da29,천재지변 위험 구역,이 지역은 천재지변 위험 구역입니다.,RED
953518ef-ca94-47e9-853d-70fdcadd8300,눈길 미끄럼 주의,눈길이 미끄러우니 조심하세요.,RED
e1ff1eec-be15-444c-b7f4-d764179765f0,사다리 주의,사다리가 넘어질 위험이 있습니다.,RED
20cd384b-6ca5-4641-bec6-e9f5797b56d5,자전거 도로 위험,자전거 도로에 위험 요소가 있으니 주의하세요.,RED
775f6fab-089b-4388-9718-545c3d363078,낡은 교각,교각이 낡아 위험할 수 있습니다.,RED
1ca1dc27-19be-4890-a9fc-5ed659df4cc0,강한 바람 주의,강한 바람이 불고 있으니 주의하세요.,RED
bb038301-0499-40c9-8aa4-d08e1cbaf66f,눈사태 위험 지역,눈사태 위험이 있는 지역입니다.,RED
d3bf70be-0570-4d8b-92b1-c53da9e5d8ea,무료 강아지 간식,이곳에서 강아지 간식을 무료로 나눠주고 있어요!,BLUE
535d4d9f-8aaa-425e-a7a8-4e1ff6575806,산책하기 좋은 장소,이 지역은 평화로운 강아지 산책에 아주 좋습니다.,BLUE
d990c190-aa4f-4ff0-a396-00ce7850ceb4,아름다운 경치,아름다운 경치로 여유로운 산책에 딱이에요.,BLUE
284b9776-7e31-49a0-b2a9-aac84064dbd2,친절한 산책자들,강아지와 산책하는 친절한 사람들이 많습니다.,BLUE
edeef17a-1622-4dc3-804c-8093f7e6cf6c,깨끗한 보도,이 보도는 잘 관리되어 있고 깨끗합니다.,BLUE
acdfe340-6edf-4ecb-8171-9445457b1fbf,그늘이 많은 휴식처,강아지와 함께 쉴 수 있는 좋은 그늘이 있는 장소입니다.,BLUE
69d74b7e-1973-4ba2-92ed-03ffad49ac06,사진 찍기 좋은 장소,사진 찍기 좋은 장소입니다. 카메라를 가져오세요!,BLUE
399e1989-06ce-4acf-ac5a-223e3ca5910a,강아지가 물을 마실 수 있는 분수,강아지가 마실 수 있는 분수가 있어요.,BLUE
139a32ef-66f5-475b-9c26-0bd31080e234,좋은 공원 벤치,편하게 쉴 수 있는 공원 벤치가 있습니다.,BLUE
83b9db0b-e7a5-4c1f-a43b-a7be83929593,피크닉하기 좋은 장소,강아지와 함께 피크닉하기 좋은 장소입니다.,BLUE
0978f88e-30f2-4ca1-84c3-016abf3a8a72,강아지 전용 운동장,강아지가 마음껏 뛰어놀 수 있는 운동장이 있습니다.,BLUE
f6ad585c-2cc3-44af-a088-cfe489498401,넓은 잔디밭,넓은 잔디밭에서 강아지가 자유롭게 놀 수 있습니다.,BLUE
002a4c81-698a-4a15-913d-d80a7c36cfbd,강아지 목욕 서비스,강아지를 위한 목욕 서비스가 제공됩니다.,BLUE
b6b04b74-3b83-4454-87ed-15f6f05109ed,자연 경관이 좋은 곳,자연 경관이 아름다운 장소로 추천합니다.,BLUE
106400b6-144c-4042-ab6b-e5f1acc1edb4,조용한 산책로,조용하고 여유로운 산책로가 있습니다.,BLUE
8e6b0f6a-dcc9-407c-99cf-dddb289dc9fa,강아지 친구들이 많은 장소,이곳은 강아지 친구들이 많아 사회화에 좋습니다.,BLUE
9d4d9f76-37dc-4846-8b17-d8c85b1544fe,멋진 노을 풍경,멋진 노을을 감상할 수 있는 곳입니다.,BLUE
7f7a73a9-c38b-42c4-8569-47c6adf9acdd,강아지를 위한 쉼터,강아지를 위한 편안한 쉼터가 있습니다.,BLUE
c7c6e761-558d-4824-b669-0ee165a5733a,강아지 놀이터,강아지들이 놀기에 완벽한 놀이 공간입니다.,BLUE
a513f493-dbf8-40ee-9810-39a6bddfbd4a,강아지와 함께하는 요가 클래스,강아지와 함께 요가를 즐길 수 있는 장소입니다.,BLUE
4b0edb9c-f7f3-4852-a1be-200220ba21df,무료 음료 제공,이곳에서는 무료 음료를 제공합니다.,BLUE
6c7268c8-5942-4942-81a4-3ee80458718a,푸드 트럭,푸드 트럭이 있어 다양한 음식을 즐길 수 있습니다.,BLUE
23d1ee59-fa69-4605-834e-b98e841ec60c,강아지 장난감 제공,강아지 장난감을 제공하는 이벤트가 진행 중입니다.,BLUE
be339365-c3da-4754-af4f-716d4f6ac69a,아늑한 그늘 공간,그늘이 많아 아늑하게 쉴 수 있는 공간입니다.,BLUE
94a559bf-97bd-4e2a-8423-ceb684eede7b,주차 공간이 넉넉한 곳,주차 공간이 넉넉하여 편리합니다.,BLUE
27927bf6-1800-4681-946c-b83ad132fc74,포토존,이곳은 사진 찍기에 좋은 포토존입니다.,BLUE
5aba3358-a3d4-4f05-85b5-da133bf69b45,반려동물 행사 중,반려동물 행사가 열리고 있는 장소입니다.,BLUE
68ca1ac7-0a31-4a23-8ca3-afbb0aa47d3b,강아지를 위한 미니 수영장,강아지를 위한 미니 수영장이 있습니다.,BLUE
b046b221-8213-43bc-99c7-4ef6ea737422,도그 카페 근처,근처에 도그 카페가 있습니다.,BLUE
6c86434a-ca02-466e-a871-b715f61a7c60,깨끗한 화장실,깨끗한 화장실이 마련되어 있습니다.,BLUE
5dabadb5-d698-40a5-8fc4-3d28ca7971fb,휴대폰 충전소 제공,휴대폰을 충전할 수 있는 공간이 있습니다.,BLUE
90320c6f-0711-40be-8b00-f86dd2829f15,비치 파라솔 설치 구역,비치 파라솔이 설치된 시원한 공간입니다.,BLUE
0b36a5c0-9a15-4433-9052-4ec2df1d0ef6,넓은 산책로,넓고 여유로운 산책로가 있습니다.,BLUE
1c5dcff5-bb1c-4d90-9835-ff195bbec8c4,시원한 바람이 부는 장소,시원한 바람이 불어오는 쾌적한 장소입니다.,BLUE
2e074fbf-a2fc-459a-8055-e2f4f0d777af,산책 중 휴식 공간,산책 중에 쉬어갈 수 있는 공간이 있습니다.,BLUE
35b97367-d067-48f3-9a8e-b46f1a6b7979,안전한 보행로,안전하게 보행할 수 있는 구역입니다.,BLUE
823fec58-2bad-4f51-ae34-f9d9390fd505,반려동물 행사 구역,반려동물을 위한 행사가 열리고 있습니다.,BLUE
396cec7c-54c2-4481-b831-905bac4bfede,강아지용 미끄럼틀,강아지가 즐길 수 있는 미끄럼틀이 있습니다.,BLUE
f2b72fe7-80e7-49ed-885d-46778466722f,편안한 나무 의자,편안하게 앉을 수 있는 나무 의자가 있습니다.,BLUE
f7091921-f070-48cb-a1d8-12a2ef7c8bbf,무선 인터넷 제공,무료로 무선 인터넷을 제공하는 공간입니다.,BLUE
2705910c-3891-4790-8882-64d948445f81,작은 도서관 근처,작은 도서관 근처에서 산책을 즐길 수 있습니다.,BLUE
3b4b1a68-ec30-49af-9ab2-d5e2f6e92954,멀티 운동장,멀티 운동장이 마련되어 있습니다.,BLUE
c495ec74-9798-46e5-89f9-58b6db634bfe,강아지와 함께할 피크닉 존,강아지와 함께할 수 있는 피크닉 장소입니다.,BLUE
53030848-a07d-4a3a-b223-42cee0dd5014,소풍 장소,소풍을 즐기기 좋은 장소입니다.,BLUE
dcb22e6f-9f61-4b4f-b2f1-747589f64209,음료 자동판매기 근처,음료 자동판매기가 있는 장소입니다.,BLUE
4ca79c68-08a9-4092-b87e-fb22d9004920,강아지 명랑 운동회,강아지를 위한 명랑 운동회가 열리고 있습니다.,BLUE
5a05625f-f7dd-45c2-a5e2-e4dad40505dd,도그 마라톤,도그 마라톤 이벤트가 진행 중입니다.,BLUE
e2cfbd23-38c8-4585-9cdb-60c582451f08,파라솔 아래 시원한 곳,파라솔 아래 시원하게 쉴 수 있는 공간입니다.,BLUE
01486f05-133c-4b8f-bc42-78005f797002,벤치가 많은 휴식처,벤치가 많이 마련된 편안한 휴식처입니다.,BLUE
ada2c7f5-d569-4499-bff2-09709bf6f94c,작은 연못 근처,작은 연못 근처에서 여유를 즐길 수 있습니다.,BLUE
aa10f5b5-196f-487a-a136-0e0cb0f66ff3,도심 속 자연,도심 속에서 자연을 느낄 수 있는 장소입니다.,BLUE
